date,firstDose.daily.total,secondDose.daily.total
2/22/2021,47,0
2/23/2021,532,0
2/24/2021,0,0
2/25/2021,0,0
2/26/2021,6066,0
2/27/2021,7039,1
2/28/2021,7015,0
3/1/2021,6408,0
3/2/2021,13071,0
3/3/2021,11666,2
3/4/2021,10389,0
3/5/2021,10138,0
3/6/2021,11655,1
3/7/2021,8992,1
3/8/2021,10825,0
3/9/2021,9675,1
3/10/2021,17021,1
3/11/2021,15360,0
3/12/2021,16322,0
3/13/2021,14880,1
3/14/2021,13620,0
3/15/2021,15363,0
3/16/2021,23327,0
3/17/2021,24599,1
3/18/2021,22626,1
3/19/2021,27605,0
3/20/2021,26367,1
3/21/2021,23820,0
3/22/2021,25212,43
3/23/2021,23437,395
3/24/2021,9743,32
3/25/2021,8192,28
3/26/2021,8519,5198
3/27/2021,7732,6308
3/28/2021,6635,6539
3/29/2021,6618,6053
3/30/2021,5405,9790
3/31/2021,5133,9648
4/1/2021,5223,10055
4/2/2021,5143,5719
4/3/2021,3625,9124
4/4/2021,3829,8256
4/5/2021,8099,13066
4/6/2021,15717,23051
4/7/2021,13330,30455
4/8/2021,13456,27046
4/9/2021,14151,30581
4/10/2021,16301,30214
4/11/2021,19010,24332
4/12/2021,18616,24734
4/13/2021,17854,22855
4/14/2021,16955,15204
4/15/2021,16634,13346
4/16/2021,22885,13869
4/17/2021,25448,13977
4/18/2021,22569,11261
4/19/2021,21489,10983
4/20/2021,17288,8798
4/21/2021,15212,8229
4/22/2021,15392,8153
4/23/2021,17447,8786
4/24/2021,21530,8660
4/25/2021,14423,7688
4/26/2021,17257,9766
4/27/2021,12444,12224
4/28/2021,11788,13096
4/29/2021,12841,12914
4/30/2021,19306,16964
5/1/2021,20079,20561
5/2/2021,15750,21768
5/3/2021,19790,17933
5/4/2021,17831,15352
5/5/2021,15660,15116
5/6/2021,15796,14644
5/7/2021,17144,21164
5/8/2021,17152,24936
5/9/2021,15941,21278
5/10/2021,15743,19145
5/11/2021,13224,15287
5/12/2021,11667,14122
5/13/2021,11302,14476
5/14/2021,14675,17307
5/15/2021,15903,21729
5/16/2021,13896,14934
5/17/2021,12577,16677
5/18/2021,13190,12851
5/19/2021,8743,7424
5/20/2021,10755,13028
5/21/2021,14010,16834
5/22/2021,15857,20793
5/23/2021,11807,17028
5/24/2021,12648,15732
5/25/2021,11120,13941
5/26/2021,11212,12867
5/27/2021,12773,13371
5/28/2021,17199,18799
5/29/2021,22456,20085
5/30/2021,17152,18023
5/31/2021,20106,16363
6/1/2021,19849,13715
6/2/2021,19799,12701
6/3/2021,23862,12355
6/4/2021,29144,15807
6/5/2021,31464,19052
6/6/2021,24552,14783
6/7/2021,29433,12717
6/8/2021,26416,10064
6/9/2021,24466,8400
6/10/2021,28083,10150
6/11/2021,35408,15026
6/12/2021,36102,18041
6/13/2021,30089,12411
6/14/2021,23478,7010
6/15/2021,29170,12352
6/16/2021,27190,8270
6/17/2021,29235,9668
6/18/2021,35832,14497
6/19/2021,33354,18258
6/20/2021,24058,13900
6/21/2021,30496,15507
6/22/2021,27803,13195
6/23/2021,27479,13205
6/24/2021,30647,15777
6/25/2021,35429,22512
6/26/2021,30330,28229
6/27/2021,27713,22493
6/28/2021,29324,22222
6/29/2021,32799,23271
6/30/2021,36644,23620
7/1/2021,32708,14943
7/2/2021,34635,35480
7/3/2021,27172,34550
7/4/2021,26824,26123
7/5/2021,36409,28232
7/6/2021,33978,25879
7/7/2021,33085,24188
7/8/2021,35349,28404
7/9/2021,32585,37662
7/10/2021,23369,40775
7/11/2021,26563,28477
7/12/2021,36881,24879
7/13/2021,35995,23798
7/14/2021,33909,23391
7/15/2021,32781,30587
7/16/2021,32278,36708
7/17/2021,26625,36829
7/18/2021,26691,28628
7/19/2021,36407,28740
7/20/2021,34717,26984
7/21/2021,34478,26339
7/22/2021,33135,31129
7/23/2021,26878,43903
7/24/2021,24025,40520
7/25/2021,25476,30530
7/26/2021,32969,33747
7/27/2021,34543,30338
7/28/2021,32944,30273
7/29/2021,33135,29948
7/30/2021,31683,38611
7/31/2021,29947,35080
8/1/2021,28705,27084
8/2/2021,36477,32569
8/3/2021,38355,30563
8/4/2021,35208,30225
8/5/2021,35412,31781
8/6/2021,32697,37832
8/7/2021,29634,34975
8/8/2021,30059,25321
8/9/2021,34832,33879
8/10/2021,36765,30056
8/11/2021,36142,29349
8/12/2021,33147,32842
8/13/2021,33513,35003
8/14/2021,30407,33662
8/15/2021,29607,25740
8/16/2021,35416,29619
8/17/2021,33760,27671
8/18/2021,32330,27682
8/19/2021,28742,30899
8/20/2021,26266,36809
8/21/2021,22157,37490
8/22/2021,21984,28274
8/23/2021,27016,32828
8/24/2021,27213,29761
8/25/2021,25001,31350
8/26/2021,23666,37025
8/27/2021,23767,39325
8/28/2021,22067,38807
8/29/2021,18745,32352
8/30/2021,23335,40608
8/31/2021,20262,41114
9/1/2021,22053,27277
9/2/2021,20768,27049
9/3/2021,22457,33766
9/4/2021,22933,34328
9/5/2021,16562,26704
9/6/2021,15455,29866
9/7/2021,12568,27496
9/8/2021,12072,27880
9/9/2021,13410,29421
9/10/2021,15310,36299
9/11/2021,16415,37120
9/12/2021,10281,25979
9/13/2021,10521,25765
9/14/2021,8218,21647
9/15/2021,8307,21317
9/16/2021,8761,22083
9/17/2021,11183,26453
9/18/2021,11519,28992
9/19/2021,6279,17223
9/20/2021,7465,17520
9/21/2021,5553,13056
9/22/2021,4158,12403
9/23/2021,8082,25728
9/24/2021,10989,26323
9/25/2021,10099,29002
9/26/2021,5924,17723
9/27/2021,8424,18314
9/28/2021,7073,14868
9/29/2021,7786,15847
9/30/2021,11890,18401
10/1/2021,5462,10132
10/2/2021,5606,17057
10/3/2021,3406,9348
10/4/2021,5421,12290
10/5/2021,5155,8870
10/6/2021,4338,8231
10/7/2021,4701,9250
10/8/2021,4429,10940
10/9/2021,26,43
10/10/2021,4254,14255
10/11/2021,5481,9962
10/12/2021,2827,5684
10/13/2021,38,178
10/14/2021,3338,8030
10/15/2021,5545,13948
10/16/2021,6157,12355
10/17/2021,2588,5593
10/18/2021,4640,7636
10/19/2021,4031,5323
10/20/2021,3471,4673
10/21/2021,4090,7396
10/22/2021,5620,9393
10/23/2021,4523,9568
10/24/2021,2456,4474
10/25/2021,3861,7015
10/26/2021,3436,6173
10/27/2021,3600,4968
10/28/2021,3900,5894
10/29/2021,5051,4865
10/30/2021,4920,4131
10/31/2021,2747,3553
11/1/2021,3888,4506
11/2/2021,3948,3580
11/3/2021,1398,1401
11/4/2021,4501,4021
11/5/2021,5114,4559
11/6/2021,5678,4916
11/7/2021,3245,3075
11/8/2021,4107,4384
11/9/2021,3848,3305
11/10/2021,1298,626
11/11/2021,4148,3327
11/12/2021,5492,4284
11/13/2021,5681,5455
11/14/2021,3329,2663
11/15/2021,4249,3705
11/16/2021,4277,3456
11/17/2021,1406,1334
11/18/2021,5427,4697
11/19/2021,5849,4698
11/20/2021,6582,4878
11/21/2021,3725,2808
11/22/2021,4478,3706
11/23/2021,4100,3535
11/24/2021,1569,1305
11/25/2021,5734,4227
11/26/2021,6742,4381
11/27/2021,8348,5347
11/28/2021,5673,3198
11/29/2021,7150,3928
11/30/2021,7493,3739
12/1/2021,2069,1338
12/2/2021,5118,3833
12/3/2021,6585,4563
12/4/2021,6431,5147
12/5/2021,3939,3201
12/6/2021,4815,3851
12/7/2021,4638,3445
12/8/2021,2104,1308
12/9/2021,4679,4228
12/10/2021,5186,4873
12/11/2021,5136,5694
12/12/2021,3013,3426
12/13/2021,3932,3967
12/14/2021,3581,3566
12/15/2021,1762,1360
12/16/2021,4279,4660
12/17/2021,4314,5174
12/18/2021,4104,6406
12/19/2021,2546,4590
12/20/2021,3254,4874
12/21/2021,2899,4036
12/22/2021,1833,1734
12/23/2021,4969,5085
12/24/2021,4031,4305
12/25/2021,2883,3680
12/26/2021,2361,3775
12/27/2021,2074,4193
12/28/2021,4541,8148
12/29/2021,2370,2830
12/30/2021,5621,5231
12/31/2021,5229,4990
1/1/2022,7138,3186
1/2/2022,7568,3643
1/3/2022,17927,5313
1/4/2022,18187,4323
1/5/2022,18258,2622
1/6/2022,18231,4643
1/7/2022,20854,5223
1/8/2022,16405,5366
1/9/2022,10964,2928
1/10/2022,19863,3834
1/11/2022,19128,3498
1/12/2022,18100,2236
1/13/2022,17873,4131
1/14/2022,20000,4354
1/15/2022,16042,4204
1/16/2022,10083,2677
1/17/2022,17305,2915
1/18/2022,15728,3165
1/19/2022,15548,2039
1/20/2022,15431,4000
1/21/2022,21254,4554
1/22/2022,16712,5515
1/23/2022,10813,4793
1/24/2022,19115,5968
1/25/2022,18397,7108
1/26/2022,16862,7189
1/27/2022,15108,8061
1/28/2022,17607,10346
1/29/2022,14172,9587
1/30/2022,9577,7565
1/31/2022,3964,3645
2/1/2022,29,41
2/2/2022,104,157
2/3/2022,8585,1603
2/4/2022,15289,20089
2/5/2022,13590,15202
2/6/2022,10024,10819
2/7/2022,22890,21143
2/8/2022,26630,21520
2/9/2022,37341,18211
2/10/2022,38116,19256
2/11/2022,39925,22800
2/12/2022,28225,18627
2/13/2022,16462,10429
2/14/2022,39330,16645
2/15/2022,40183,17806
2/16/2022,42659,17281
2/17/2022,42320,16427
2/18/2022,44787,20778
2/19/2022,32734,18529
2/20/2022,19830,10007
2/21/2022,37417,12411
2/22/2022,41002,11429
2/23/2022,45451,10176
2/24/2022,42635,11568
2/25/2022,37698,16022
2/26/2022,29229,16838
2/27/2022,19841,9733
2/28/2022,31943,11534
3/1/2022,28223,8964
3/2/2022,25556,8871
3/3/2022,23906,10357
3/4/2022,24027,14329
3/5/2022,22260,14777
3/6/2022,17038,9725
3/7/2022,21270,16201
3/8/2022,19314,17246
3/9/2022,15673,20624
3/10/2022,14640,22522
3/11/2022,13130,26234
3/12/2022,11471,21293
3/13/2022,8364,12096
3/14/2022,10907,24573
3/15/2022,10075,25536
3/16/2022,8341,25556
3/17/2022,7643,25890
3/18/2022,7556,31361
3/19/2022,6018,24583
3/20/2022,4054,12954
3/21/2022,6571,25321
3/22/2022,6904,24414
3/23/2022,5732,22963
3/24/2022,5187,23575
3/25/2022,5785,27216
3/26/2022,4751,22111
3/27/2022,2893,12541
3/28/2022,4444,21499
3/29/2022,4192,19433
3/30/2022,3930,18696
3/31/2022,4285,17787
4/1/2022,4134,17610
4/2/2022,3441,16913
4/3/2022,2229,8942
4/4/2022,3951,16478
4/5/2022,1606,5335
4/6/2022,3484,14359
4/7/2022,3628,13490
4/8/2022,4248,15762
4/9/2022,3568,13297
4/10/2022,2275,7347
4/11/2022,4709,12519
4/12/2022,4679,11004
4/13/2022,5123,10209
4/14/2022,6176,12483
4/15/2022,4114,7427
4/16/2022,2899,6828
4/17/2022,2345,6404
4/18/2022,2535,5481
4/19/2022,4961,11527
4/20/2022,4349,8632
4/21/2022,4279,7767
4/22/2022,4902,10681
4/23/2022,4251,10883
4/24/2022,2063,5768
4/25/2022,4118,7990
4/26/2022,4086,7527
4/27/2022,3763,7126
4/28/2022,3666,8415
4/29/2022,4744,13400
4/30/2022,3608,16733
5/1/2022,1733,10145
5/2/2022,1667,7022
5/3/2022,3161,10758
5/4/2022,3174,8070
5/5/2022,2982,7954
5/6/2022,3675,11125
5/7/2022,3123,12238
5/8/2022,1335,7308
5/9/2022,1421,4603
5/10/2022,3059,7463
5/11/2022,2123,5049
5/12/2022,1608,5021
5/13/2022,2415,7495
5/14/2022,3026,9157
5/15/2022,1116,4726
5/16/2022,2540,4610
5/17/2022,2548,4937
5/18/2022,2283,4276
5/19/2022,2245,4749
5/20/2022,2936,7872
5/21/2022,2357,7988
5/22/2022,1251,4186
5/23/2022,2536,4929
5/24/2022,2060,4347
5/25/2022,1853,4445
5/26/2022,1701,4719
5/27/2022,2231,6307
5/28/2022,1963,7120
5/29/2022,1048,3562
5/30/2022,1955,4850
5/31/2022,1825,4913
6/1/2022,1969,4039
6/2/2022,2640,5572
6/3/2022,1415,3579
6/4/2022,2111,5701
6/5/2022,1123,2733
6/6/2022,1798,4440
6/7/2022,1356,3380
6/8/2022,1240,3064
6/9/2022,1222,3079
6/10/2022,2216,5306
6/11/2022,2145,6247
6/12/2022,930,2617
6/13/2022,1714,4831
6/14/2022,1405,4066
6/15/2022,1357,3862
6/16/2022,1533,4771
6/17/2022,1969,5649
6/18/2022,1716,5368
6/19/2022,669,2194
6/20/2022,1457,4564
6/21/2022,1108,3340
6/22/2022,926,2932
6/23/2022,1168,3425
6/24/2022,1351,3892
6/25/2022,1356,4249
6/26/2022,512,1772
6/27/2022,966,3104
6/28/2022,925,2821
6/29/2022,795,2715
6/30/2022,1391,4292
7/1/2022,532,1424
7/2/2022,12,30
7/3/2022,536,1957
7/4/2022,995,3161
7/5/2022,787,2367
7/6/2022,753,1952
7/7/2022,773,2135
7/8/2022,1355,3487
7/9/2022,1119,3084
7/10/2022,404,1224
7/11/2022,939,2602
7/12/2022,710,1960
7/13/2022,723,1932
7/14/2022,760,2032
7/15/2022,1212,2992
7/16/2022,1166,3037
7/17/2022,434,1147
7/18/2022,812,2302
7/19/2022,775,1832
7/20/2022,682,1692
7/21/2022,665,1658
7/22/2022,1142,2381
7/23/2022,873,2180
7/24/2022,382,1026
7/25/2022,738,1802
7/26/2022,690,1623
7/27/2022,682,1769
7/28/2022,724,1971
7/29/2022,1010,2257
7/30/2022,856,1950
7/31/2022,372,908
8/1/2022,812,1621
8/2/2022,767,1592
8/3/2022,722,1568
8/4/2022,952,1604
8/5/2022,1405,2237
8/6/2022,1536,2222
8/7/2022,815,1100
8/8/2022,1335,1931
8/9/2022,1071,1658
8/10/2022,919,1378
8/11/2022,1010,1741
8/12/2022,1424,2168
8/13/2022,1604,2357
8/14/2022,1008,1377
8/15/2022,1842,2616
8/16/2022,2185,2519
8/17/2022,1731,1934
8/18/2022,1874,2487
8/19/2022,2072,2720
8/20/2022,2263,2900
8/21/2022,1365,1744
8/22/2022,2002,2786
8/23/2022,1787,2550
8/24/2022,1646,2444
8/25/2022,921,1540
8/26/2022,2106,3334
8/27/2022,2408,4022
8/28/2022,1422,2470
8/29/2022,2278,4335
8/30/2022,2111,3938
8/31/2022,1639,3169
9/1/2022,1698,3088
9/2/2022,2532,4806
9/3/2022,2750,5867
9/4/2022,1207,2925
9/5/2022,1735,3985
