date,thirdDose.daily.total
11/11/2021,16871
11/12/2021,10098
11/13/2021,9727
11/14/2021,5816
11/15/2021,7129
11/16/2021,6208
11/17/2021,1401
11/18/2021,6562
11/19/2021,6104
11/20/2021,6184
11/21/2021,4210
11/22/2021,6271
11/23/2021,9458
11/24/2021,2640
11/25/2021,11928
11/26/2021,11112
11/27/2021,12979
11/28/2021,10806
11/29/2021,10698
11/30/2021,10044
12/1/2021,2528
12/2/2021,10333
12/3/2021,9366
12/4/2021,10302
12/5/2021,8107
12/6/2021,8277
12/7/2021,8114
12/8/2021,2318
12/9/2021,8858
12/10/2021,7836
12/11/2021,8537
12/12/2021,6920
12/13/2021,8010
12/14/2021,7389
12/15/2021,2350
12/16/2021,9291
12/17/2021,7853
12/18/2021,8071
12/19/2021,6635
12/20/2021,6991
12/21/2021,5562
12/22/2021,2182
12/23/2021,8579
12/24/2021,7028
12/25/2021,6551
12/26/2021,5739
12/27/2021,5380
12/28/2021,10360
12/29/2021,3032
12/30/2021,9601
12/31/2021,7984
1/1/2022,8014
1/2/2022,10695
1/3/2022,15601
1/4/2022,16592
1/5/2022,17758
1/6/2022,18661
1/7/2022,19053
1/8/2022,14917
1/9/2022,14196
1/10/2022,21453
1/11/2022,20840
1/12/2022,20212
1/13/2022,21300
1/14/2022,20339
1/15/2022,15294
1/16/2022,14463
1/17/2022,20598
1/18/2022,19861
1/19/2022,19780
1/20/2022,20555
1/21/2022,22250
1/22/2022,17025
1/23/2022,16373
1/24/2022,22686
1/25/2022,21229
1/26/2022,23426
1/27/2022,26263
1/28/2022,25017
1/29/2022,20656
1/30/2022,19198
1/31/2022,2822
2/1/2022,15
2/2/2022,56
2/3/2022,15602
2/4/2022,21313
2/5/2022,20251
2/6/2022,19754
2/7/2022,29340
2/8/2022,30522
2/9/2022,29252
2/10/2022,30474
2/11/2022,30997
2/12/2022,26602
2/13/2022,24033
2/14/2022,33656
2/15/2022,33263
2/16/2022,34619
2/17/2022,35167
2/18/2022,36445
2/19/2022,27921
2/20/2022,23844
2/21/2022,33189
2/22/2022,31173
2/23/2022,33783
2/24/2022,36885
2/25/2022,40758
2/26/2022,36065
2/27/2022,30367
2/28/2022,42395
3/1/2022,41127
3/2/2022,40285
3/3/2022,43819
3/4/2022,44902
3/5/2022,42866
3/6/2022,35428
3/7/2022,45548
3/8/2022,41598
3/9/2022,37906
3/10/2022,39660
3/11/2022,41331
3/12/2022,35760
3/13/2022,31062
3/14/2022,35294
3/15/2022,33038
3/16/2022,31944
3/17/2022,32997
3/18/2022,33609
3/19/2022,30010
3/20/2022,24769
3/21/2022,34233
3/22/2022,32264
3/23/2022,29637
3/24/2022,31475
3/25/2022,34188
3/26/2022,31421
3/27/2022,24263
3/28/2022,25858
3/29/2022,21802
3/30/2022,19910
3/31/2022,21978
4/1/2022,25401
4/2/2022,24566
4/3/2022,15731
4/4/2022,18462
4/5/2022,9015
4/6/2022,14891
4/7/2022,15972
4/8/2022,19126
4/9/2022,17115
4/10/2022,10967
4/11/2022,14961
4/12/2022,13015
4/13/2022,14950
4/14/2022,19824
4/15/2022,16697
4/16/2022,12588
4/17/2022,9894
4/18/2022,8255
4/19/2022,11128
4/20/2022,9768
4/21/2022,10932
4/22/2022,12927
4/23/2022,10954
4/24/2022,6717
4/25/2022,10414
4/26/2022,9053
4/27/2022,9016
4/28/2022,13795
4/29/2022,15965
4/30/2022,15251
5/1/2022,9847
5/2/2022,6970
5/3/2022,12862
5/4/2022,12458
5/5/2022,17636
5/6/2022,21219
5/7/2022,20005
5/8/2022,13885
5/9/2022,11228
5/10/2022,19581
5/11/2022,15719
5/12/2022,18188
5/13/2022,23605
5/14/2022,21129
5/15/2022,14251
5/16/2022,21139
5/17/2022,19816
5/18/2022,19868
5/19/2022,22519
5/20/2022,30719
5/21/2022,29063
