Date of onset,daily_infect,daily_deceased
18/1/2020,0,0
19/1/2020,0,0
20/1/2020,0,0
21/1/2020,0,0
22/1/2020,0,0
23/1/2020,0,0
24/1/2020,0,0
25/1/2020,0,0
26/1/2020,0,0
27/1/2020,0,0
28/1/2020,0,0
29/1/2020,0,0
30/1/2020,2,0
31/1/2020,0,0
1/2/2020,1,0
2/2/2020,0,0
3/2/2020,0,0
4/2/2020,3,1
5/2/2020,3,0
6/2/2020,3,0
7/2/2020,0,0
8/2/2020,0,0
9/2/2020,10,0
10/2/2020,6,0
11/2/2020,7,0
12/2/2020,1,0
13/2/2020,3,0
14/2/2020,3,0
15/2/2020,0,0
16/2/2020,1,0
17/2/2020,3,0
18/2/2020,2,0
19/2/2020,3,1
20/2/2020,4,0
21/2/2020,0,0
22/2/2020,1,0
23/2/2020,3,0
24/2/2020,3,0
25/2/2020,4,0
26/2/2020,4,0
27/2/2020,2,0
28/2/2020,0,0
29/2/2020,1,0
1/3/2020,3,0
2/3/2020,1,0
3/3/2020,0,0
4/3/2020,3,0
5/3/2020,0,0
6/3/2020,2,0
7/3/2020,0,0
8/3/2020,3,1
9/3/2020,1,0
10/3/2020,2,0
11/3/2020,1,0
12/3/2020,0,0
13/3/2020,3,1
14/3/2020,1,0
15/3/2020,1,0
16/3/2020,2,0
17/3/2020,3,0
18/3/2020,12,0
19/3/2020,6,0
20/3/2020,23,0
21/3/2020,8,0
22/3/2020,24,0
23/3/2020,18,0
24/3/2020,17,0
25/3/2020,10,0
26/3/2020,18,0
27/3/2020,30,0
28/3/2020,20,0
29/3/2020,23,0
30/3/2020,9,0
31/3/2020,9,0
1/4/2020,22,0
2/4/2020,9,0
3/4/2020,14,0
4/4/2020,7,0
5/4/2020,4,0
6/4/2020,6,0
7/4/2020,9,0
8/4/2020,11,0
9/4/2020,3,0
10/4/2020,4,0
11/4/2020,1,0
12/4/2020,1,0
13/4/2020,1,0
14/4/2020,1,0
15/4/2020,0,0
16/4/2020,0,0
17/4/2020,1,0
18/4/2020,0,0
19/4/2020,1,0
20/4/2020,0,0
21/4/2020,0,0
22/4/2020,0,0
23/4/2020,0,0
24/4/2020,0,0
25/4/2020,1,0
26/4/2020,0,0
27/4/2020,0,0
28/4/2020,0,0
29/4/2020,0,0
30/4/2020,0,0
1/5/2020,0,0
2/5/2020,0,0
3/5/2020,0,0
4/5/2020,0,0
5/5/2020,0,0
6/5/2020,0,0
7/5/2020,0,0
8/5/2020,0,0
9/5/2020,0,0
10/5/2020,0,0
11/5/2020,0,0
12/5/2020,0,0
13/5/2020,2,0
14/5/2020,1,0
15/5/2020,0,0
16/5/2020,0,0
17/5/2020,0,0
18/5/2020,0,0
19/5/2020,0,0
20/5/2020,0,0
21/5/2020,0,0
22/5/2020,0,0
23/5/2020,0,0
24/5/2020,0,0
25/5/2020,0,0
26/5/2020,0,0
27/5/2020,0,0
28/5/2020,0,0
29/5/2020,0,0
30/5/2020,0,0
31/5/2020,2,0
1/6/2020,3,0
2/6/2020,5,0
3/6/2020,0,0
4/6/2020,1,0
5/6/2020,0,0
6/6/2020,0,0
7/6/2020,0,0
8/6/2020,0,0
9/6/2020,0,0
10/6/2020,0,0
11/6/2020,0,0
12/6/2020,1,0
13/6/2020,1,0
14/6/2020,0,0
15/6/2020,0,0
16/6/2020,0,0
17/6/2020,0,0
18/6/2020,0,0
19/6/2020,0,0
20/6/2020,0,0
21/6/2020,0,1
22/6/2020,0,0
23/6/2020,0,1
24/6/2020,0,0
25/6/2020,0,1
26/6/2020,0,0
27/6/2020,0,0
28/6/2020,0,0
29/6/2020,0,0
30/6/2020,0,0
1/7/2020,1,0
2/7/2020,0,0
3/7/2020,0,0
4/7/2020,0,0
5/7/2020,2,0
6/7/2020,1,0
7/7/2020,9,0
8/7/2020,19,0
9/7/2020,34,0
10/7/2020,32,0
11/7/2020,16,0
12/7/2020,30,0
13/7/2020,41,0
14/7/2020,40,1
15/7/2020,14,0
16/7/2020,63,2
17/7/2020,50,0
18/7/2020,60,2
19/7/2020,82,0
20/7/2020,66,0
21/7/2020,58,2
22/7/2020,102,0
23/7/2020,111,1
24/7/2020,115,1
25/7/2020,126,2
26/7/2020,103,0
27/7/2020,142,4
28/7/2020,98,0
29/7/2020,112,2
30/7/2020,145,0
31/7/2020,118,3
1/8/2020,124,4
2/8/2020,113,3
3/8/2020,80,3
4/8/2020,75,4
5/8/2020,82,2
6/8/2020,91,1
7/8/2020,81,2
8/8/2020,67,1
9/8/2020,63,4
10/8/2020,67,3
11/8/2020,32,4
12/8/2020,61,5
13/8/2020,65,2
14/8/2020,45,1
15/8/2020,39,2
16/8/2020,70,1
17/8/2020,31,0
18/8/2020,35,1
19/8/2020,23,2
20/8/2020,17,1
21/8/2020,18,2
22/8/2020,24,1
23/8/2020,19,1
24/8/2020,7,0
25/8/2020,16,0
26/8/2020,24,1
27/8/2020,18,1
28/8/2020,10,5
29/8/2020,16,2
30/8/2020,10,2
31/8/2020,7,1
1/9/2020,9,1
2/9/2020,8,3
3/9/2020,7,1
4/9/2020,7,0
5/9/2020,7,0
6/9/2020,15,1
7/9/2020,10,3
8/9/2020,3,1
9/9/2020,5,0
10/9/2020,5,0
11/9/2020,3,0
12/9/2020,9,1
13/9/2020,11,0
14/9/2020,12,1
15/9/2020,0,0
16/9/2020,5,1
17/9/2020,6,0
18/9/2020,2,1
19/9/2020,4,0
20/9/2020,4,0
21/9/2020,2,0
22/9/2020,3,0
23/9/2020,2,0
24/9/2020,3,1
25/9/2020,2,0
26/9/2020,0,1
27/9/2020,1,0
28/9/2020,3,0
29/9/2020,0,0
30/9/2020,1,0
1/10/2020,1,0
2/10/2020,3,0
3/10/2020,1,0
4/10/2020,2,0
5/10/2020,4,0
6/10/2020,5,0
7/10/2020,9,0
8/10/2020,14,0
9/10/2020,7,0
