Date,Reduced
1/18/2020,0.334225325
1/19/2020,0.340643138
1/20/2020,0.278977591
1/21/2020,0.196780604
1/22/2020,0.097700394
1/23/2020,0.028380845
1/24/2020,-0.053576576
1/25/2020,-0.124347412
1/26/2020,-0.189441999
1/27/2020,-0.2351886
1/28/2020,-0.262830632
1/29/2020,-0.263618204
1/30/2020,-0.301420323
1/31/2020,-0.283045144
2/1/2020,-0.324217195
2/2/2020,-0.311351141
2/3/2020,-0.324334792
2/4/2020,-0.311536534
2/5/2020,-0.325411507
2/6/2020,-0.317388639
2/7/2020,-0.296140059
2/8/2020,-0.293725093
2/9/2020,-0.318490017
2/10/2020,-0.297619794
2/11/2020,-0.281685704
2/12/2020,-0.279528432
2/13/2020,-0.320482359
2/14/2020,-0.318036221
2/15/2020,-0.295
2/16/2020,-0.291
2/17/2020,-0.285833333
2/18/2020,-0.284285714
2/19/2020,-0.279285714
2/20/2020,-0.272857143
2/21/2020,-0.272142857
2/22/2020,-0.270714286
2/23/2020,-0.27
2/24/2020,-0.269285714
2/25/2020,-0.267142857
2/26/2020,-0.262857143
2/27/2020,-0.258571429
2/28/2020,-0.255
2/29/2020,-0.251428571
3/1/2020,-0.249285714
3/2/2020,-0.245714286
3/3/2020,-0.241428571
3/4/2020,-0.239285714
3/5/2020,-0.237857143
3/6/2020,-0.236428571
3/7/2020,-0.233571429
3/8/2020,-0.230714286
3/9/2020,-0.229285714
3/10/2020,-0.229285714
3/11/2020,-0.229285714
3/12/2020,-0.225
3/13/2020,-0.223571429
3/14/2020,-0.226428571
3/15/2020,-0.231428571
3/16/2020,-0.235714286
3/17/2020,-0.238571429
3/18/2020,-0.245714286
3/19/2020,-0.257142857
3/20/2020,-0.265
3/21/2020,-0.272857143
3/22/2020,-0.277142857
3/23/2020,-0.283571429
3/24/2020,-0.29
3/25/2020,-0.3
3/26/2020,-0.316428571
3/27/2020,-0.325714286
3/28/2020,-0.33
3/29/2020,-0.332142857
3/30/2020,-0.332857143
3/31/2020,-0.335
4/1/2020,-0.334166667
4/2/2020,-0.3375
4/3/2020,-0.340833333
4/4/2020,-0.336666667
4/5/2020,-0.333333333
4/6/2020,-0.325833333
4/7/2020,-0.329
4/8/2020,-0.329
4/9/2020,-0.306
4/10/2020,-0.29125
4/11/2020,-0.285
4/12/2020,-0.27875
4/13/2020,-0.28125
4/14/2020,-0.285
4/15/2020,-0.285
4/16/2020,-0.283333333
4/17/2020,-0.284285714
4/18/2020,-0.286428571
4/19/2020,-0.295714286
4/20/2020,-0.3
4/21/2020,-0.300714286
4/22/2020,-0.298571429
4/23/2020,-0.295714286
4/24/2020,-0.294285714
4/25/2020,-0.290714286
4/26/2020,-0.277142857
4/27/2020,-0.274166667
4/28/2020,-0.268
4/29/2020,-0.263
4/30/2020,-0.261
5/1/2020,-0.257
5/2/2020,-0.254
5/3/2020,-0.256
5/4/2020,-0.25
5/5/2020,-0.244285714
5/6/2020,-0.236428571
5/7/2020,-0.222857143
5/8/2020,-0.217857143
5/9/2020,-0.213571429
5/10/2020,-0.209285714
5/11/2020,-0.206428571
5/12/2020,-0.205
5/13/2020,-0.204285714
5/14/2020,-0.208571429
5/15/2020,-0.211428571
5/16/2020,-0.21
5/17/2020,-0.207857143
5/18/2020,-0.208571429
5/19/2020,-0.209285714
5/20/2020,-0.209285714
5/21/2020,-0.207142857
5/22/2020,-0.205714286
5/23/2020,-0.205
5/24/2020,-0.205
5/25/2020,-0.199285714
5/26/2020,-0.192857143
5/27/2020,-0.201428571
5/28/2020,-0.2
5/29/2020,-0.192142857
5/30/2020,-0.189285714
5/31/2020,-0.185
6/1/2020,-0.185714286
6/2/2020,-0.185714286
6/3/2020,-0.179285714
6/4/2020,-0.195
6/5/2020,-0.200714286
6/6/2020,-0.197857143
6/7/2020,-0.195714286
6/8/2020,-0.190714286
6/9/2020,-0.187142857
6/10/2020,-0.182142857
6/11/2020,-0.175
6/12/2020,-0.166428571
6/13/2020,-0.164285714
6/14/2020,-0.161428571
6/15/2020,-0.16
6/16/2020,-0.158571429
6/17/2020,-0.152142857
6/18/2020,-0.136428571
6/19/2020,-0.133571429
6/20/2020,-0.131428571
6/21/2020,-0.127142857
6/22/2020,-0.1275
6/23/2020,-0.129166667
6/24/2020,-0.135
6/25/2020,-0.14
6/26/2020,-0.14
6/27/2020,-0.134166667
6/28/2020,-0.139
6/29/2020,-0.1375
6/30/2020,-0.1375
7/1/2020,-0.135
7/2/2020,-0.135833333
7/3/2020,-0.135
7/4/2020,-0.135833333
7/5/2020,-0.135714286
7/6/2020,-0.135
7/7/2020,-0.137142857
7/8/2020,-0.143571429
7/9/2020,-0.152857143
7/10/2020,-0.165714286
7/11/2020,-0.184285714
7/12/2020,-0.205714286
7/13/2020,-0.227857143
7/14/2020,-0.248571429
7/15/2020,-0.268571429
7/16/2020,-0.29
7/17/2020,-0.306428571
7/18/2020,-0.322857143
7/19/2020,-0.332857143
7/20/2020,-0.343571429
7/21/2020,-0.354285714
7/22/2020,-0.362142857
7/23/2020,-0.368571429
7/24/2020,-0.371428571
7/25/2020,-0.372142857
7/26/2020,-0.385714286
7/27/2020,-0.396428571
7/28/2020,-0.400714286
7/29/2020,-0.405714286
7/30/2020,-0.405714286
7/31/2020,-0.408571429
8/1/2020,-0.409285714
8/2/2020,-0.398571429
8/3/2020,-0.386428571
8/4/2020,-0.379285714
8/5/2020,-0.367857143
8/6/2020,-0.36
8/7/2020,-0.353571429
8/8/2020,-0.350714286
8/9/2020,-0.348571429
8/10/2020,-0.345714286
8/11/2020,-0.342857143
8/12/2020,-0.34
8/13/2020,-0.335714286
8/14/2020,-0.335714286
8/15/2020,-0.333333333
8/16/2020,-0.328
8/17/2020,-0.32
8/18/2020,-0.315
8/19/2020,-0.309
8/20/2020,-0.302
8/21/2020,-0.295
8/22/2020,-0.296666667
8/23/2020,-0.296428571
8/24/2020,-0.296428571
8/25/2020,-0.29
8/26/2020,-0.284285714
8/27/2020,-0.277857143
8/28/2020,-0.271428571
8/29/2020,-0.266428571
8/30/2020,-0.262142857
8/31/2020,-0.257142857
9/1/2020,-0.255
9/2/2020,-0.253571429
9/3/2020,-0.251428571
9/4/2020,-0.250714286
9/5/2020,-0.251428571
9/6/2020,-0.249285714
9/7/2020,-0.247142857
9/8/2020,-0.241428571
9/9/2020,-0.236428571
9/10/2020,-0.229285714
9/11/2020,-0.225714286
9/12/2020,-0.224285714
9/13/2020,-0.217142857
9/14/2020,-0.213571429
