date,firstDose.daily.total
2/26/2021,6066
2/27/2021,7039
2/28/2021,7015
3/1/2021,6408
3/2/2021,13071
3/3/2021,11666
3/4/2021,10389
3/5/2021,10138
3/6/2021,11655
3/7/2021,8992
3/8/2021,10825
3/9/2021,9675
3/10/2021,17021
3/11/2021,15360
3/12/2021,16322
3/13/2021,14880
3/14/2021,13620
3/15/2021,15363
3/16/2021,23327
3/17/2021,24599
3/18/2021,22626
3/19/2021,27605
3/20/2021,26367
3/21/2021,23820
3/22/2021,25212
3/23/2021,23437
3/24/2021,9743
3/25/2021,8192
3/26/2021,8519
3/27/2021,7732
3/28/2021,6635
3/29/2021,6618
3/30/2021,5405
3/31/2021,5133
4/1/2021,5223
4/2/2021,5143
4/3/2021,3625
4/4/2021,3829
4/5/2021,8099
4/6/2021,15717
4/7/2021,13330
4/8/2021,13456
4/9/2021,14151
4/10/2021,16301
4/11/2021,19010
4/12/2021,18616
4/13/2021,17854
4/14/2021,16955
4/15/2021,16634
4/16/2021,22885
4/17/2021,25448
4/18/2021,22569
4/19/2021,21489
4/20/2021,17288
4/21/2021,15212
4/22/2021,15392
4/23/2021,17447
4/24/2021,21530
4/25/2021,14423
4/26/2021,17257
4/27/2021,12444
4/28/2021,11788
4/29/2021,12841
4/30/2021,19306
5/1/2021,20079
5/2/2021,15750
5/3/2021,19790
5/4/2021,17831
5/5/2021,15660
5/6/2021,15796
5/7/2021,17144
5/8/2021,17152
5/9/2021,15941
5/10/2021,15743
5/11/2021,13224
5/12/2021,11667
5/13/2021,11302
5/14/2021,14675
5/15/2021,15903
5/16/2021,13896
5/17/2021,12577
5/18/2021,13190
5/19/2021,8743
5/20/2021,10755
5/21/2021,14010
5/22/2021,15857
5/23/2021,11807
5/24/2021,12648
5/25/2021,11120
5/26/2021,11212
5/27/2021,12773
5/28/2021,17199
5/29/2021,22456
5/30/2021,17152
5/31/2021,20106
6/1/2021,19849
6/2/2021,19799
6/3/2021,23862
6/4/2021,29144
6/5/2021,31464
6/6/2021,24552
6/7/2021,29433
6/8/2021,26416
6/9/2021,24466
6/10/2021,28083
6/11/2021,35408
6/12/2021,36102
6/13/2021,30089
6/14/2021,23478
6/15/2021,29170
6/16/2021,27190
6/17/2021,29235
6/18/2021,35832
6/19/2021,33354
6/20/2021,24058
6/21/2021,30496
6/22/2021,27803
6/23/2021,27479
6/24/2021,30647
6/25/2021,35429
6/26/2021,30330
6/27/2021,27713
6/28/2021,29324
6/29/2021,32799
6/30/2021,36644
7/1/2021,32708
7/2/2021,34635
7/3/2021,27172
7/4/2021,26824
7/5/2021,36409
7/6/2021,33978
7/7/2021,33085
7/8/2021,35349
7/9/2021,32585
7/10/2021,23369
7/11/2021,26563
7/12/2021,36881
7/13/2021,35995
7/14/2021,33909
7/15/2021,32781
7/16/2021,32278
7/17/2021,26625
7/18/2021,26691
7/19/2021,36407
7/20/2021,34717
7/21/2021,34478
7/22/2021,33135
7/23/2021,26878
7/24/2021,24025
7/25/2021,25476
7/26/2021,32969
7/27/2021,34543
7/28/2021,32944
7/29/2021,33135
7/30/2021,31683
7/31/2021,29947
8/1/2021,28705
8/2/2021,36477
8/3/2021,38355
8/4/2021,35208
8/5/2021,35412
8/6/2021,32697
8/7/2021,29634
8/8/2021,30059
8/9/2021,34832
8/10/2021,36765
8/11/2021,36142
8/12/2021,33147
8/13/2021,33513
8/14/2021,30407
8/15/2021,29607
8/16/2021,35416
8/17/2021,33760
8/18/2021,32330
8/19/2021,28742
8/20/2021,26266
8/21/2021,22157
8/22/2021,21984
8/23/2021,27016
8/24/2021,27213
8/25/2021,25001
8/26/2021,23666
8/27/2021,23767
8/28/2021,22067
8/29/2021,18745
8/30/2021,23335
8/31/2021,20262
9/1/2021,22053
9/2/2021,20768
9/3/2021,22457
9/4/2021,22933
9/5/2021,16562
9/6/2021,15455
9/7/2021,12568
9/8/2021,12072
9/9/2021,13410
9/10/2021,15310
9/11/2021,16415
9/12/2021,10281
9/13/2021,10521
9/14/2021,8218
9/15/2021,8307
9/16/2021,8761
9/17/2021,11183
9/18/2021,11519
9/19/2021,6279
9/20/2021,7465
9/21/2021,5553
9/22/2021,4158
9/23/2021,8082
9/24/2021,10989
9/25/2021,10099
9/26/2021,5924
9/27/2021,8424
9/28/2021,7073
9/29/2021,7786
9/30/2021,11890
10/1/2021,5462
10/2/2021,5606
10/3/2021,3406
10/4/2021,5421
10/5/2021,5155
10/6/2021,4338
10/7/2021,4701
10/8/2021,4429
10/9/2021,26
10/10/2021,4254
10/11/2021,5481
10/12/2021,2827
10/13/2021,38
10/14/2021,3338
10/15/2021,5545
10/16/2021,6157
10/17/2021,2588
10/18/2021,4640
10/19/2021,4031
10/20/2021,3471
10/21/2021,4090
10/22/2021,5620
10/23/2021,4523
10/24/2021,2456
10/25/2021,3861
10/26/2021,3436
10/27/2021,3600
10/28/2021,3900
10/29/2021,5051
10/30/2021,4920
10/31/2021,2747
11/1/2021,3888
11/2/2021,3948
11/3/2021,1398
11/4/2021,4501
11/5/2021,5114
11/6/2021,5678
11/7/2021,3245
11/8/2021,4107
11/9/2021,3848
11/10/2021,1298
11/11/2021,4148
11/12/2021,5492
11/13/2021,5681
11/14/2021,3329
11/15/2021,4249
11/16/2021,4277
11/17/2021,1406
11/18/2021,5427
11/19/2021,5849
11/20/2021,6582
11/21/2021,3725
11/22/2021,4478
11/23/2021,4100
11/24/2021,1569
11/25/2021,5734
11/26/2021,6742
11/27/2021,8348
11/28/2021,5673
11/29/2021,7150
11/30/2021,7493
12/1/2021,2069
12/2/2021,5118
12/3/2021,6585
12/4/2021,6431
12/5/2021,3939
12/6/2021,4815
12/7/2021,4638
12/8/2021,2104
12/9/2021,4679
12/10/2021,5186
12/11/2021,5136
12/12/2021,3013
12/13/2021,3932
12/14/2021,3581
12/15/2021,1762
12/16/2021,4279
12/17/2021,4314
12/18/2021,4104
12/19/2021,2546
12/20/2021,3254
12/21/2021,2899
12/22/2021,1833
12/23/2021,4969
12/24/2021,4031
12/25/2021,2883
12/26/2021,2361
12/27/2021,2074
12/28/2021,4541
12/29/2021,2370
12/30/2021,5621
12/31/2021,5229
1/1/2022,7138
1/2/2022,7568
1/3/2022,17927
1/4/2022,18187
1/5/2022,18258
1/6/2022,18231
1/7/2022,20854
1/8/2022,16405
1/9/2022,10964
1/10/2022,19863
1/11/2022,19128
1/12/2022,18100
1/13/2022,17873
1/14/2022,20000
1/15/2022,16042
1/16/2022,10083
1/17/2022,17305
1/18/2022,15728
1/19/2022,15548
1/20/2022,15431
1/21/2022,21254
1/22/2022,16712
1/23/2022,10813
1/24/2022,19115
1/25/2022,18397
1/26/2022,16862
1/27/2022,15108
1/28/2022,17607
1/29/2022,14172
1/30/2022,9577
1/31/2022,3964
2/1/2022,29
2/2/2022,104
2/3/2022,8585
2/4/2022,15289
2/5/2022,13590
2/6/2022,10024
2/7/2022,22890
2/8/2022,26630
2/9/2022,37341
2/10/2022,38116
2/11/2022,39925
2/12/2022,28225
2/13/2022,16462
2/14/2022,39330
2/15/2022,40183
2/16/2022,42659
2/17/2022,42320
2/18/2022,44787
2/19/2022,32734
2/20/2022,19830
2/21/2022,37417
2/22/2022,41002
2/23/2022,45451
2/24/2022,42635
2/25/2022,37698
2/26/2022,29229
2/27/2022,19841
2/28/2022,31943
3/1/2022,28223
3/2/2022,25556
3/3/2022,23906
3/4/2022,24027
3/5/2022,22260
3/6/2022,17038
3/7/2022,21270
3/8/2022,19314
3/9/2022,15673
3/10/2022,14640
3/11/2022,13130
3/12/2022,11471
3/13/2022,8364
3/14/2022,10907
3/15/2022,10075
3/16/2022,8341
3/17/2022,7643
3/18/2022,7556
3/19/2022,6018
3/20/2022,4054
3/21/2022,6571
3/22/2022,6904
3/23/2022,5732
3/24/2022,5187
3/25/2022,5785
3/26/2022,4751
3/27/2022,2893
3/28/2022,4444
3/29/2022,4192
3/30/2022,3930
3/31/2022,4285
4/1/2022,4134
4/2/2022,3441
4/3/2022,2229
4/4/2022,3951
4/5/2022,1606
4/6/2022,3484
4/7/2022,3628
4/8/2022,4248
4/9/2022,3568
4/10/2022,2275
4/11/2022,4709
4/12/2022,4679
4/13/2022,5123
4/14/2022,6176
4/15/2022,4114
4/16/2022,2899
4/17/2022,2345
4/18/2022,2535
4/19/2022,4961
4/20/2022,4349
4/21/2022,4279
4/22/2022,4902
4/23/2022,4251
4/24/2022,2063
4/25/2022,4118
4/26/2022,4086
4/27/2022,3763
